Title,Url,Rating,Subject
Introduction to Big Data,https://www.classcentral.com/course/intro-to-big-data-4164,2.7142857142857,Data Science Courses
Introduction to Computational Thinking and Data Science,https://www.classcentral.com/course/edx-introduction-to-computational-thinking-and-data-science-1779,4.4333333333333,Data Science Courses
Hadoop Platform and Application Framework,https://www.classcentral.com/course/hadoop-4269,1.92,Data Science Courses
Mastering Data Analysis in Excel,https://www.classcentral.com/course/analytics-excel-4310,1.68,Data Science Courses
Digital Analytics for Marketing Professionals: Marketing Analytics in Practice,https://www.classcentral.com/course/dmanalyticspractice-2754,4.2083333333333,Data Science Courses
Introduction to R for Data Science,https://www.classcentral.com/course/edx-introduction-to-r-for-data-science-3928,4.1785714285714,Data Science Courses
Pattern Discovery in Data Mining,https://www.classcentral.com/course/patterndiscovery-2733,2.1428571428571,Data Science Courses
Mining Massive Datasets,https://www.classcentral.com/course/stanford-openedx-mining-massive-datasets-2406,4.56,Data Science Courses
A Crash Course in Data Science,https://www.classcentral.com/course/data-science-crash-course-4392,3.4,Data Science Courses
Data Visualization,https://www.classcentral.com/course/datavisualization-2737,3.3,Data Science Courses
Exploratory Data Analysis,https://www.classcentral.com/course/exdata-1715,3.9210526315789,Data Science Courses
Process Mining: Data science in Action,https://www.classcentral.com/course/procmin-2445,4.3529411764706,Data Science Courses
Finding Hidden Messages in DNA (Bioinformatics I),https://www.classcentral.com/course/hiddenmessages-3289,4.5294117647059,Data Science Courses
Whole genome sequencing of bacterial genomes - tools and applications,https://www.classcentral.com/course/wgs-bacteria-8907,4.7619047619048,Data Science Courses
Introduction to Python for Data Science,https://www.classcentral.com/course/edx-introduction-to-python-for-data-science-5683,3.8571428571429,Data Science Courses
Statistics and R,https://www.classcentral.com/course/edx-statistics-and-r-2960,3.5714285714286,Data Science Courses
Intro to Hadoop and MapReduce,https://www.classcentral.com/course/udacity-intro-to-hadoop-and-mapreduce-1470,3.9,Data Science Courses
Statistical Thinking for Data Science and Analytics,https://www.classcentral.com/course/edx-statistical-thinking-for-data-science-and-analytics-4913,2.1578947368421,Data Science Courses
Making Sense of Data in the Media,https://www.classcentral.com/course/media-data-4925,4.7857142857143,Data Science Courses
Data Analysis with R,https://www.classcentral.com/course/udacity-data-analysis-with-r-1478,4.5555555555556,Data Science Courses
Regression Models,https://www.classcentral.com/course/regmods-1718,2.5454545454545,Data Science Courses
Statistical Inference,https://www.classcentral.com/course/statinference-1717,2.8125,Data Science Courses
Building a Data Science Team,https://www.classcentral.com/course/build-data-science-team-4391,3.5,Data Science Courses
Text Mining and Analytics,https://www.classcentral.com/course/textanalytics-2736,3.7,Data Science Courses
Data Science in Real Life,https://www.classcentral.com/course/real-life-data-science-4389,3,Data Science Courses
DCO042 - Python For Informatics,https://www.classcentral.com/course/independent-dco042-python-for-informatics-1010,4.6428571428571,Data Science Courses
Data Visualization and Communication with Tableau,https://www.classcentral.com/course/analytics-tableau-4297,3.7777777777778,Data Science Courses
Analyzing and Visualizing Data with Excel,https://www.classcentral.com/course/edx-analyzing-and-visualizing-data-with-excel-4480,4.1538461538462,Data Science Courses
Intro to Data Science,https://www.classcentral.com/course/udacity-intro-to-data-science-1480,4.1538461538462,Data Science Courses
